Rank,Artist,Song,Date,Last Week,Peak,Weeks,Image
18,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches,2021-09-04,19,1,23,https://charts-static.billboard.com/img/2021/04/justin-bieber-f8k-peaches-sl5-180x180.jpg
19,Aventura x Bad Bunny,Volvi,2021-09-04,17,11,4,https://charts-static.billboard.com/img/2021/08/aventura-mvs-volvi-1pk-180x180.jpg
20,Shouse,Love Tonight,2021-09-04,23,20,9,https://charts-static.billboard.com/img/2021/06/shouse-hek-love-tonight-4iu-180x180.jpg
21,Ed Sheeran,Visiting Hours,2021-09-04,-,21,1,https://charts-static.billboard.com/img/2021/08/ed-sheeran-w3r-visiting-hours-gwe-180x180.jpg
22,Maneskin,I Wanna Be Your Slave,2021-09-04,21,13,14,https://charts-static.billboard.com/img/2021/06/maneskin-ews-i-wanna-be-your-slave-7ws-180x180.jpg
23,Bad Bunny,Yonaguni,2021-09-04,22,3,12,https://charts-static.billboard.com/img/2021/06/bad-bunny-c3m-yonaguni-zqi-180x180.jpg
24,The Weeknd,Blinding Lights,2021-09-04,24,2,51,https://charts-static.billboard.com/img/2019/12/the-weeknd-xmx-blinding-lights-q48-180x180.jpg
25,Olivia Rodrigo,Traitor,2021-09-04,25,7,14,https://charts-static.billboard.com/img/2019/11/olivia-rodrigo-3wl-180x180.jpg
26,Glass Animals,Heat Waves,2021-09-04,29,23,34,https://charts-static.billboard.com/img/2020/07/glass-animals-rtd-heat-waves-1lv-180x180.jpg
27,Masked Wolf,Astronaut In The Ocean,2021-09-04,27,3,31,https://charts-static.billboard.com/img/2020/11/masked-wolf-voi-astronaut-in-the-ocean-4ou-180x180.jpg
28,Lizzo Featuring Cardi B,Rumors,2021-09-04,12,12,2,https://charts-static.billboard.com/img/2021/08/lizzo-o9x-rumors-t3t-180x180.jpg
29,Walker Hayes,Fancy Like,2021-09-04,34,29,10,https://charts-static.billboard.com/img/2021/06/walker-hayes-kxn-fancy-like-m9f-180x180.jpg
30,Nio Garcia X J Balvin X Bad Bunny,AM,2021-09-04,26,10,20,https://charts-static.billboard.com/img/2021/04/nio-garcia-hk8-am-sfu-180x180.jpg
31,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,2021-09-04,31,2,25,https://charts-static.billboard.com/img/2021/03/silk-sonic-bruno-mars-and-anderson-paak-qd5-leave-the-door-open-ife-180x180.jpg
32,Wizkid Featuring Justin Bieber & Tems,Essence,2021-09-04,28,28,7,https://charts-static.billboard.com/img/2021/05/wizkid-qj3-essence-0rl-180x180.jpg
33,J Balvin & Maria Becerra,Que Mas Pues?,2021-09-04,30,17,13,https://charts-static.billboard.com/img/2021/06/j-balvin-i5b-que-mas-pues-d8y-180x180.jpg
34,BTS,Dynamite,2021-09-04,33,1,51,https://charts-static.billboard.com/img/2020/09/bts-hm9-dynamite-zg6-180x180.jpg
35,Shawn Mendes & Tainy,Summer Of Love,2021-09-04,-,35,1,https://charts-static.billboard.com/img/2021/09/shawn-mendes-pz2-summer-of-love-rm5-180x180.jpg
36,Olivia Rodrigo,Deja Vu,2021-09-04,32,3,21,https://charts-static.billboard.com/img/2021/04/olivia-rodrigo-3wl-deja-vu-q3u-180x180.jpg
37,Sleepy Hallow,2055,2021-09-04,37,37,6,https://charts-static.billboard.com/img/2020/05/sleepy-hallow-etg-180x180.jpg
38,"Skrillex, Justin Bieber & Don Toliver",Don't Go,2021-09-04,-,38,1,https://charts-static.billboard.com/img/2021/09/skrillex-6tu-dont-go-ir3-180x180.jpg
39,Olivia Rodrigo,Drivers License,2021-09-04,36,1,33,https://charts-static.billboard.com/img/2021/01/olivia-rodrigo-3wl-drivers-license-w08-180x180.jpg
