Rank,Artist,Song,Date,Last Week,Peak,Weeks,Image
160,Taylor Swift Featuring Bon Iver,Exile,2020-10-03,143,133,3,https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg
161,YoungBoy Never Broke Again,Kacey Talk,2020-10-03,87,87,2,https://charts-static.billboard.com/img/2020/09/youngboy-never-broke-again-tcd-kaceytalk-y1j-180x180.jpg
162,Megan Thee Stallion,Girls In The Hood,2020-10-03,135,129,3,https://charts-static.billboard.com/img/2019/01/megan-thee-stallion-dkc-180x180.jpg
163,Ariana Grande,7 Rings,2020-10-03,159,159,3,https://charts-static.billboard.com/img/2011/02/ariana-grande-nxo-180x180.jpg
164,Arizona Zervas,Roxanne,2020-10-03,160,147,3,https://charts-static.billboard.com/img/2019/11/arizona-zervas-egt-180x180.jpg
165,Maluma Featuring Lenny Tavarez & Justin Quiles,Parce,2020-10-03,166,165,3,https://charts-static.billboard.com/img/2016/12/maluma-180x180.jpg
166,Ed Sheeran,Thinking Out Loud,2020-10-03,173,166,3,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
167,Journey,Don't Stop Believin',2020-10-03,165,150,3,https://charts-static.billboard.com/img/2005/08/journey-0b3-dontstopbelievin-mvt-180x180.jpg
168,Post Malone Featuring 21 Savage,Rockstar,2020-10-03,168,156,3,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
169,Stray Kids,Back Door,2020-10-03,-,169,1,https://charts-static.billboard.com/img/2017/11/straykids-0y0-180x180.jpg
170,TREASURE,I Love You,2020-10-03,-,170,1,https://charts-static.billboard.com/img/2020/10/treasure-000-iloveyou-6xj-180x180.jpg
171,Gunna Featuring Young Thug,Dollaz On My Head,2020-10-03,164,152,3,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
172,Rosalia & Travis Scott,TKN,2020-10-03,142,126,3,https://charts-static.billboard.com/img/2017/06/rosalia-88x-180x180.jpg
173,Marshmello & Bastille,Happier,2020-10-03,171,164,3,https://charts-static.billboard.com/img/2016/01/marshmello-dhc-180x180.jpg
174,Luke Combs,Lovin' On You,2020-10-03,178,174,2,https://charts-static.billboard.com/img/2019/06/luke-combs-9dm-lovin-on-you-c87-180x180.jpg
175,Eagles,Hotel California,2020-10-03,177,170,3,https://charts-static.billboard.com/img/1972/06/eagles-ma9-180x180.jpg
176,NEA,Some Say,2020-10-03,163,144,3,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
177,Eito,Kousui,2020-10-03,175,175,3,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
178,Ava Max,Sweet But Psycho,2020-10-03,-,178,1,https://charts-static.billboard.com/img/2018/09/ava-max-h98-180x180.jpg
179,Maroon 5,Nobody's Love,2020-10-03,130,119,3,https://charts-static.billboard.com/img/2002/12/maroon-5-kks.jpg
180,Taylor Swift,Betty,2020-10-03,-,180,1,https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg
181,KHEA x Natti Natashi x Prince Royce Featuring Lenny Santos,Ayer Me Llamo Mi Ex,2020-10-03,144,121,3,https://charts-static.billboard.com/img/2020/09/khea-j94-ayer-me-llamo-mi-ex-qy3-180x180.jpg
182,Billie Eilish,Ocean Eyes,2020-10-03,181,178,3,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg
183,YoungBoy Never Broke Again Featuring Lil Wayne,My Window,2020-10-03,52,52,2,https://charts-static.billboard.com/img/2017/06/youngboy-never-broke-again-tcd-180x180.jpg
184,Morgan Wallen,Chasin' You,2020-10-03,189,167,3,https://charts-static.billboard.com/img/2016/08/morgan-wallen-nlu-180x180.jpg
185,BTS Featuring Halsey,Boy With Luv,2020-10-03,179,179,3,https://charts-static.billboard.com/img/2013/06/bts-hm9-180x180.jpg
186,"Bad Bunny, Jowell & Randy & Nengo Flow",Safaera,2020-10-03,-,186,1,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
187,Drake Featuring Giveon,Chicago Freestyle,2020-10-03,169,146,3,https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg
188,Imagine Dragons,Thunder,2020-10-03,184,175,3,https://charts-static.billboard.com/img/1840/12/imagine-dragons-hy6-180x180.jpg
189,iTZY,Not Shy,2020-10-03,151,124,3,https://charts-static.billboard.com/img/2019/02/itzy-rmu-180x180.jpg
190,The Chainsmokers & Coldplay,Something Just Like This,2020-10-03,182,172,3,https://charts-static.billboard.com/img/2013/11/the-chainsmokers-39n-87x87.jpg
191,blackbear,Hot Girl Bummer,2020-10-03,187,176,3,https://charts-static.billboard.com/img/2014/05/blackbear-kx0-180x180.jpg
192,Justin Quiles,Jeans,2020-10-03,-,192,1,https://charts-static.billboard.com/img/2013/11/justin-quiles-hyk-180x180.jpg
193,"Dalex, Arcangel, Manuel Turizo, De La Ghetto & Beele",+Linda,2020-10-03,-,193,1,https://charts-static.billboard.com/img/2020/10/dalex-l66-linda-qq8-180x180.jpg
194,Dan + Shay & Justin Bieber,"10,000 Hours",2020-10-03,-,194,1,https://charts-static.billboard.com/img/2019/10/dan-shay-mwp-10000-hours-llc-180x180.jpg
195,J Balvin,Azul,2020-10-03,172,166,3,https://charts-static.billboard.com/img/2010/07/j-balvin-i5b-180x180.jpg
196,Arcangel x Sech,Sigues Con El,2020-10-03,170,159,3,https://charts-static.billboard.com/img/2006/05/arcangel-pqf-180x180.jpg
197,Noah Cyrus & Leon Bridges,July,2020-10-03,193,193,3,https://charts-static.billboard.com/img/2019/08/noah-cyrus-1ay-july-rtg-180x180.jpg
198,DISH//,Neko,2020-10-03,-,198,1,https://charts-static.billboard.com/img/2013/03/dish-bjq-180x180.jpg
199,Sada Baby Featuring Nicki Minaj,Whole Lotta Choppas,2020-10-03,-,199,1,https://charts-static.billboard.com/img/2020/10/sadababy-lyn-wholelottachoppas-w8o-180x180.jpg
200,Panic! At The Disco,High Hopes,2020-10-03,-,199,2,https://charts-static.billboard.com/img/2018/06/panic-at-the-disco-bni-high-hopes-i5c-180x180.jpg
1,Cardi B Featuring Megan Thee Stallion,WAP,2020-09-26,1,1,2,https://charts-static.billboard.com/img/2020/08/cardi-b-7bz-wap-8b4-180x180.jpg
2,BTS,Dynamite,2020-09-26,2,2,2,https://charts-static.billboard.com/img/2020/09/bts-hm9-dynamite-zg6-180x180.jpg
3,24kGoldn Featuring iann dior,Mood,2020-09-26,3,3,2,https://charts-static.billboard.com/img/2020/08/24kgoldn-hvh-mood-agm-180x180.jpg
4,Maluma,Hawai,2020-09-26,4,4,2,https://charts-static.billboard.com/img/2020/08/maluma-xt7-hawai-vy6-180x180.jpg
5,Drake Featuring Lil Durk,Laugh Now Cry Later,2020-09-26,5,5,2,https://charts-static.billboard.com/img/2020/08/drake-04g-laugh-now-cry-later-4ss-180x180.jpg
6,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),2020-09-26,6,6,2,https://charts-static.billboard.com/img/2020/06/jawsh-685-000-savage-love-laxed-siren-beat-ii1-180x180.jpg
7,The Weeknd,Blinding Lights,2020-09-26,7,7,2,https://charts-static.billboard.com/img/2019/12/the-weeknd-xmx-blinding-lights-q48-180x180.jpg
8,DaBaby Featuring Roddy Ricch,Rockstar,2020-09-26,9,8,2,https://charts-static.billboard.com/img/2017/01/dababy-sfn-180x180.jpg
9,Harry Styles,Watermelon Sugar,2020-09-26,10,9,2,https://charts-static.billboard.com/img/2019/11/harry-styles-6jk-watermelonsugar-w6n-180x180.jpg
10,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,2020-09-26,12,10,2,https://charts-static.billboard.com/img/2019/08/pop-smoke-2yd-180x180.jpg
11,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,2020-09-26,24,11,2,https://charts-static.billboard.com/img/2019/10/internet-money-vaq-180x180.jpg
12,DJ Khaled Featuring Drake,Popstar,2020-09-26,11,11,2,https://charts-static.billboard.com/img/2006/02/dj-khaled-2l5-180x180.jpg
13,BLACKPINK X Selena Gomez,Ice Cream,2020-09-26,8,8,2,https://charts-static.billboard.com/img/2020/09/blackpink-l5z-ice-cream-9op-180x180.jpg
14,"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko",Relacion,2020-09-26,13,13,2,https://charts-static.billboard.com/img/2020/04/sech-43v-relacion-zna-180x180.jpg
15,SAINt JHN,Roses,2020-09-26,14,14,2,https://charts-static.billboard.com/img/2020/03/saint-jhn-y2f-roses-h0w-180x180.jpg
16,Pop Smoke Featuring Lil Tjay,Mood Swings,2020-09-26,15,15,2,https://charts-static.billboard.com/img/2019/08/pop-smoke-2yd-180x180.jpg
17,Ozuna x Karol G x Myke Towers,Caramelo,2020-09-26,16,16,2,https://charts-static.billboard.com/img/2020/06/ozuna-gin-caramelo-yj2-180x180.jpg
18,Joel Corry X MNEK,Head & Heart,2020-09-26,19,18,2,https://charts-static.billboard.com/img/2020/07/joel-corry-000-head-and-heart-aga-180x180.jpg
19,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,2020-09-26,17,17,2,https://charts-static.billboard.com/img/2020/06/jackharlow-i43-whatspoppin-q71-180x180.jpg
20,Tones And I,Dance Monkey,2020-09-26,18,18,2,https://charts-static.billboard.com/img/2019/08/tones-and-i-e1q-dance-monkey-pbf-180x180.jpg
21,Topic & A7S,Breaking Me,2020-09-26,21,21,2,https://charts-static.billboard.com/img/2020/05/topic-r9y-breaking-me-7x3-180x180.jpg
22,Tate McRae,You Broke Me First.,2020-09-26,30,22,2,https://charts-static.billboard.com/img/2020/08/tatemcrae-rxu-youbrokemefirst-int-180x180.jpg
23,Conan Gray,Heather,2020-09-26,20,20,2,https://charts-static.billboard.com/img/2018/11/conan-gray-9al-180x180.jpg
24,Miley Cyrus,Midnight Sky,2020-09-26,23,23,2,https://charts-static.billboard.com/img/2020/08/miley-cyrus-rjp-midnight-sky-m3e-180x180.jpg
25,Lady Gaga & Ariana Grande,Rain On Me,2020-09-26,22,22,2,https://charts-static.billboard.com/img/2020/06/lady-gaga-b8x-rain-on-me-iib-180x180.jpg
26,Juice WRLD x Marshmello,Come & Go,2020-09-26,27,26,2,https://charts-static.billboard.com/img/2018/05/juice-wrld-as8-180x180.jpg
27,Karol G,"Ay, Dios Mio!",2020-09-26,25,25,2,https://charts-static.billboard.com/img/2016/05/karol-g-tb3-180x180.jpg
28,Chris Brown & Young Thug,Go Crazy,2020-09-26,26,26,2,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg
29,Lewis Capaldi,Someone You Loved,2020-09-26,32,29,2,https://charts-static.billboard.com/img/2019/02/lewis-capaldi-s2h-180x180.jpg
30,"J Balvin, Dua Lipa, Bad Bunny & Tainy",Un Dia (One Day),2020-09-26,31,30,2,https://charts-static.billboard.com/img/2010/07/j-balvin-i5b-180x180.jpg
31,Rauw Alejandro x Camilo,Tattoo,2020-09-26,28,28,2,https://charts-static.billboard.com/img/2020/07/rauwalejandro-37g-tattoo-onr-180x180.jpg
32,Marshmello & Demi Lovato,OK Not To Be OK,2020-09-26,-,32,1,https://charts-static.billboard.com/img/2020/09/marshmello-dhc-oknottobeok-uai-180x180.jpg
33,Lewis Capaldi,Before You Go,2020-09-26,34,33,2,https://charts-static.billboard.com/img/2017/04/lewis-capaldi-s2h-180x180.jpg
34,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,La Jeepeta,2020-09-26,29,29,2,https://charts-static.billboard.com/img/2018/04/nio-garcia-hk8-180x180.jpg
35,Jason Derulo,Take You Dancing,2020-09-26,44,35,2,https://charts-static.billboard.com/img/2009/07/jason-derulo-d0c-180x180.jpg
36,Ava Max,Kings & Queens,2020-09-26,35,35,2,https://charts-static.billboard.com/img/2020/03/ava-max-h98-kings-and-queens-in6-180x180.jpg
37,BLACKPINK,How You Like That,2020-09-26,33,33,2,https://charts-static.billboard.com/img/2016/08/blackpink-l5z-180x180.jpg
38,Dua Lipa,Don't Start Now,2020-09-26,37,37,2,https://charts-static.billboard.com/img/2015/11/dua-lipa-5k0-180x180.jpg
39,Future Featuring Drake,Life Is Good,2020-09-26,39,39,2,https://charts-static.billboard.com/img/1988/03/future-f8b-180x180.jpg
40,DJ Khaled Featuring Drake,Greece,2020-09-26,38,38,2,https://charts-static.billboard.com/img/2006/02/dj-khaled-2l5-180x180.jpg
41,DJ Nelson Presenta Jay Wheeler & Myke Towers,La Curiosidad,2020-09-26,41,41,2,https://charts-static.billboard.com/img/2020/03/jay-wheeler-9ai-180x180.jpg
42,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,2020-09-26,40,40,2,https://charts-static.billboard.com/img/2019/08/pop-smoke-2yd-180x180.jpg
43,Master KG Featuring Burna Boy & Nomcebo Zikode,Jerusalema,2020-09-26,45,43,2,https://charts-static.billboard.com/img/2020/06/master-kg-featuring-burna-boy-and-nomcebo-zikode-120-180x180.jpg
44,Kane Brown With Swae Lee & Khalid,Be Like That,2020-09-26,53,44,2,https://charts-static.billboard.com/img/2020/07/kane-brown-dqa-belikethat-mwa-180x180.jpg
45,Powfu Featuring beabadoobee,Death Bed,2020-09-26,43,43,2,https://charts-static.billboard.com/img/2020/03/powfu-000-death-bed-xs7-180x180.jpg
46,Juice WRLD,Wishing Well,2020-09-26,48,46,2,https://charts-static.billboard.com/img/2018/05/juice-wrld-as8-180x180.jpg
47,Dua Lipa,Break My Heart,2020-09-26,47,47,2,https://charts-static.billboard.com/img/2020/04/dua-lipa-5k0-break-my-heart-fn5-180x180.jpg
48,Tainy x J Balvin,Agua,2020-09-26,46,46,2,https://charts-static.billboard.com/img/2020/07/tainy-otf-agua-tp1-180x180.jpg
49,Post Malone,Circles,2020-09-26,51,49,2,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
50,Machine Gun Kelly X blackbear,My Ex's Best Friend,2020-09-26,54,50,2,https://charts-static.billboard.com/img/2020/08/machine-gun-kelly-ubc-my-exs-best-friend-ilc-180x180.jpg
51,Saweetie,Tap In,2020-09-26,42,42,2,https://charts-static.billboard.com/img/2018/03/saweetie-g0q-180x180.jpg
52,YoungBoy Never Broke Again Featuring Lil Wayne,My Window,2020-09-26,-,52,1,https://charts-static.billboard.com/img/2017/06/youngboy-never-broke-again-tcd-180x180.jpg
53,Doja Cat,Say So,2020-09-26,50,50,2,https://charts-static.billboard.com/img/2018/04/doja-cat-lm6-180x180.jpg
54,Juice WRLD & The Weeknd,Smile,2020-09-26,49,49,2,https://charts-static.billboard.com/img/2020/08/juice-wrld-as8-smile-zj5-180x180.jpg
55,Ed Sheeran,Perfect,2020-09-26,61,55,2,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
56,Pinkfong,Baby Shark,2020-09-26,58,56,2,https://charts-static.billboard.com/img/2018/07/pinkfong-2rz-180x180.jpg
57,Billie Eilish,Bad Guy,2020-09-26,55,55,2,https://charts-static.billboard.com/img/2019/04/billie-eilish-lrt-bad-guy-vul-180x180.jpg
58,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),2020-09-26,59,58,2,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
59,Surf Mesa Featuring Emilee,ily,2020-09-26,56,56,2,https://charts-static.billboard.com/img/2020/04/surf-mesa-000-ily-b5f-180x180.jpg
60,Megan Thee Stallion,Savage,2020-09-26,52,52,2,https://charts-static.billboard.com/img/2020/03/megan-thee-stallion-dkc-savage-n0u-180x180.jpg
61,Pop Smoke,Dior,2020-09-26,66,61,2,https://charts-static.billboard.com/img/2019/08/pop-smoke-5gi-180x180.jpg
62,Aya Nakamura Featuring Maluma,Djadja,2020-09-26,57,57,2,https://charts-static.billboard.com/img/2020/09/aya-nakamura-featuring-maluma-000-djadja-wjj-180x180.jpg
63,Ariana Grande & Justin Bieber,Stuck With U,2020-09-26,60,60,2,https://charts-static.billboard.com/img/2011/02/ariana-grande-nxo-180x180.jpg
64,Rod Wave Featuring ATR Son Son,Rags2Riches,2020-09-26,63,63,2,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg
65,Lil Mosey,Blueberry Faygo,2020-09-26,62,62,2,https://charts-static.billboard.com/img/2018/09/lil-mosey-j5a-180x180.jpg
66,Roddy Ricch,The Box,2020-09-26,70,66,2,https://charts-static.billboard.com/img/2018/11/roddy-ricch-zyg-180x180.jpg
67,Shawn Mendes & Camila Cabello,Senorita,2020-09-26,72,67,2,https://charts-static.billboard.com/img/2014/07/shawn-mendes-pz2-180x180.jpg
68,Harry Styles,Adore You,2020-09-26,71,68,2,https://charts-static.billboard.com/img/2017/04/harry-styles-6jk-180x180.jpg
69,Calvin Harris X The Weeknd,Over Now,2020-09-26,67,67,2,https://charts-static.billboard.com/img/2020/09/calvin-harris-ds5-over-now-svi-180x180.jpg
70,Travis Scott,Sicko Mode,2020-09-26,96,70,2,https://charts-static.billboard.com/img/2018/08/travis-scott-jll-180x180.jpg
71,StaySolidRocky,Party Girl,2020-09-26,69,69,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
72,Maroon 5,Memories,2020-09-26,74,72,2,https://charts-static.billboard.com/img/2019/10/maroon-5-9st-180x180.jpg
73,YoungBoy Never Broke Again,Drug Addiction,2020-09-26,-,73,1,https://charts-static.billboard.com/img/2017/06/youngboy-never-broke-again-tcd-180x180.jpg
74,Lady Gaga & Bradley Cooper,Shallow,2020-09-26,81,74,2,https://charts-static.billboard.com/img/2008/04/lady-gaga-b8x-180x180.jpg
75,Drake,Toosie Slide,2020-09-26,73,73,2,https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg
76,YOASOBI,Yoru Ni Kakeru,2020-09-26,80,76,2,https://charts-static.billboard.com/img/2020/09/yoasobi-i3g-yoru-ni-kakeru-tq6-180x180.jpg
77,Justin Bieber Featuring Quavo,Intentions,2020-09-26,76,76,2,https://charts-static.billboard.com/img/2020/02/justin-bieber-4oh-intentions-fcv-180x180.jpg
78,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita,2020-09-26,65,65,2,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-f5s-180x180.jpg
79,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,2020-09-26,75,75,2,https://charts-static.billboard.com/img/2019/01/lil-nas-x-qv4-180x180.jpg
80,Money Man Featuring Lil Baby,24,2020-09-26,90,80,2,https://charts-static.billboard.com/img/2020/08/money-man-1wd-24-m2u-180x180.jpg
81,Ed Sheeran,Shape Of You,2020-09-26,86,81,2,https://charts-static.billboard.com/img/2017/01/ed-sheeran-w3r-shape-of-you-0ej-180x180.jpg
82,Gabby Barrett,I Hope,2020-09-26,78,78,2,https://charts-static.billboard.com/img/2019/03/gabby-barrett-ait-i-hope-uem-180x180.jpg
83,Travis Scott,Highest In The Room,2020-09-26,91,83,2,https://charts-static.billboard.com/img/2019/10/travis-scott-jll-180x180.jpg
84,Imagine Dragons,Believer,2020-09-26,82,82,2,https://charts-static.billboard.com/img/2017/02/imagine-dragons-ud7-believer-hmi-180x180.jpg
85,Taylor Swift,Cardigan,2020-09-26,77,77,2,https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg
86,Regard,Ride It.,2020-09-26,87,86,2,https://charts-static.billboard.com/img/2019/08/dj-regard-rjm-180x180.jpg
87,YoungBoy Never Broke Again,Kacey Talk,2020-09-26,-,87,1,https://charts-static.billboard.com/img/2020/09/youngboy-never-broke-again-tcd-kaceytalk-y1j-180x180.jpg
88,VEDO,You Got It,2020-09-26,190,88,2,https://charts-static.billboard.com/img/2020/09/vedo-2li-you-got-it-sqo-180x180.jpg
89,"Feid, J Balvin, Maluma, Nicky Jam, Sech & Justin Quiles",Porfa,2020-09-26,79,79,2,https://charts-static.billboard.com/img/2020/07/feid-ug7-porfa-071-180x180.jpg
90,Jerry Di,Mi Cuarto,2020-09-26,88,88,2,https://charts-static.billboard.com/img/2020/08/jerry-di-yml-180x180.jpg
91,Pop Smoke,What You Know Bout Love,2020-09-26,171,91,2,https://charts-static.billboard.com/img/2019/08/pop-smoke-2yd-180x180.jpg
92,Salem Ilese,Mad At Disney,2020-09-26,136,92,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
93,Lil Baby & 42 Dugg,We Paid,2020-09-26,93,93,2,https://charts-static.billboard.com/img/2017/11/lilbaby-kyx-180x180.jpg
94,Trevor Daniel,Falling,2020-09-26,94,94,2,https://charts-static.billboard.com/img/2019/11/trevor-daniel-9ow-180x180.jpg
95,The Weeknd,In Your Eyes,2020-09-26,83,83,2,https://charts-static.billboard.com/img/2011/11/the-weeknd-xmx-180x180.jpg
96,SZA Featuring Ty Dolla $ign,Hit Different,2020-09-26,36,36,2,https://charts-static.billboard.com/img/2020/09/sza-mhq-hit-different-ql4-180x180.jpg
97,Labrinth,Still Don't Know My Name,2020-09-26,85,85,2,https://charts-static.billboard.com/img/2010/06/labrinth-g0i-106x106.jpg
98,Marshmello & Halsey,Be Kind,2020-09-26,84,84,2,https://charts-static.billboard.com/img/2016/01/marshmello-dhc-180x180.jpg
99,"Ozuna, J Balvin & Chencho Corleone",Una Locura,2020-09-26,-,99,1,https://charts-static.billboard.com/img/2016/04/ozuna-gin-180x180.jpg
100,WhoHeem,Lets Link,2020-09-26,89,89,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
101,"Daddy Yankee, Anuel AA & Kendo Kaponi",Don Don,2020-09-26,-,101,1,https://charts-static.billboard.com/img/2020/09/daddy-yankee-9gq-don-don-nek-180x180.jpg
102,Travis Scott,Goosebumps,2020-09-26,108,102,2,https://charts-static.billboard.com/img/2016/10/travis-scott-jll-180x180.jpg
103,Juice WRLD,Lucid Dreams,2020-09-26,105,103,2,https://charts-static.billboard.com/img/2018/05/juice-wrld-as8-180x180.jpg
104,Billie Eilish & Khalid,Lovely,2020-09-26,103,103,2,https://charts-static.billboard.com/img/2018/05/billie-eilish-lrt-lovely-hww-180x180.jpg
105,Morgan Wallen,7 Summers,2020-09-26,112,105,2,https://charts-static.billboard.com/img/2020/08/morgan-wallen-nlu-7-summers-1ga-180x180.jpg
106,David Guetta & Sia,Let's Love,2020-09-26,-,106,1,https://charts-static.billboard.com/img/2020/09/david-guetta-ruw-lets-love-vlo-180x180.jpg
107,JP Saxe Featuring Julia Michaels,If The World Was Ending,2020-09-26,104,104,2,https://charts-static.billboard.com/img/2019/11/jp-saxe-0vx-180x180.jpg
108,BORNS,Electric Love,2020-09-26,97,97,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
109,Billie Eilish,My Future,2020-09-26,95,95,2,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg
110,Ed Sheeran & Justin Bieber,I Don't Care,2020-09-26,106,106,2,https://charts-static.billboard.com/img/2019/05/ed-sheeran-w3r-i-dont-care-34w-180x180.jpg
111,Lenny Tavarez X Rauw Alejandro X Dalex X Dimelo Flow,Elegi,2020-09-26,98,98,2,https://charts-static.billboard.com/img/2018/09/rauwalejandro-37g-180x180.jpg
112,Pop Smoke Featuring A Boogie Wit da Hoodie,Hello,2020-09-26,128,112,2,https://charts-static.billboard.com/img/2019/08/pop-smoke-2yd-180x180.jpg
113,Jason Aldean,Got What I Got,2020-09-26,189,113,2,https://charts-static.billboard.com/img/2005/04/jason-aldean-asu-180x180.jpg
114,Karol G & Nicki Minaj,Tusa,2020-09-26,109,109,2,https://charts-static.billboard.com/img/2016/05/karol-g-tb3-180x180.jpg
115,YoungBoy Never Broke Again,All In,2020-09-26,-,115,1,https://charts-static.billboard.com/img/2017/06/youngboy-never-broke-again-tcd-180x180.jpg
116,Clean Bandit & Mabel Featuring 24kGoldn,Tick Tock,2020-09-26,174,116,2,https://charts-static.billboard.com/img/2020/09/clean-bandit-tn2-tick-tock-tcb-180x180.jpg
117,Surfaces,Sunday Best,2020-09-26,102,102,2,https://charts-static.billboard.com/img/2019/08/surfaces-eo5-180x180.jpg
118,Chris Brown Featuring Drake,No Guidance,2020-09-26,113,113,2,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg
119,Polo G,Martin & Gina,2020-09-26,118,118,2,https://charts-static.billboard.com/img/2019/03/polo-g-n1o-180x180.jpg
120,Billie Eilish,Everything I Wanted,2020-09-26,116,116,2,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg
121,Pop Smoke,Got It On Me,2020-09-26,107,107,2,https://charts-static.billboard.com/img/2019/08/pop-smoke-2yd-180x180.jpg
122,Big Sean Featuring Post Malone,Wolves,2020-09-26,68,68,2,https://charts-static.billboard.com/img/2011/01/big-sean-obf-180x180.jpg
123,Lee Brice,One Of Them Girls,2020-09-26,140,123,2,https://charts-static.billboard.com/img/2007/03/lee-brice-vvw-180x180.jpg
124,"Jul, SCH, Naps, Kofs, Elams, Solda, Houari & Soso Maness",Bande Organisee,2020-09-26,115,115,2,https://charts-static.billboard.com/img/2018/09/sch-3x4-180x180.jpg
125,"Trueno & Nicki Nicole Featuring Taiu, Bizarrap & Tatool",Mamichula,2020-09-26,100,100,2,https://charts-static.billboard.com/img/2019/10/bizarrap-rsm-180x180.jpg
126,Regard & RAYE,Secrets,2020-09-26,122,122,2,https://charts-static.billboard.com/img/2019/08/dj-regard-rjm-180x180.jpg
127,Juice WRLD,Robbery,2020-09-26,123,123,2,https://charts-static.billboard.com/img/2018/05/juice-wrld-as8-180x180.jpg
128,Ozuna x Camilo,Despeinada,2020-09-26,168,128,2,https://charts-static.billboard.com/img/2020/09/ozuna-gin-despeinada-run-180x180.jpg
129,Curtis Waters Featuring Harm Franklin,Stunnin,2020-09-26,125,125,2,https://charts-static.billboard.com/img/2020/08/curtis-waters-78r-stunnin-1qa-180x180.jpg
130,Maroon 5,Nobody's Love,2020-09-26,119,119,2,https://charts-static.billboard.com/img/2002/12/maroon-5-kks.jpg
131,aimyon,Naked Heart,2020-09-26,137,131,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
132,Ritt Momney,Put Your Records On,2020-09-26,-,132,1,https://charts-static.billboard.com/img/2020/09/ritt-momney-000-put-your-records-on-v0p-180x180.jpg
133,YoungBoy Never Broke Again,Cross Roads,2020-09-26,-,133,1,https://charts-static.billboard.com/img/2017/06/youngboy-never-broke-again-tcd-180x180.jpg
134,Dua Lipa,Physical,2020-09-26,117,117,2,https://charts-static.billboard.com/img/2020/02/dua-lipa-5k0-physical-baa-180x180.jpg
135,Megan Thee Stallion,Girls In The Hood,2020-09-26,129,129,2,https://charts-static.billboard.com/img/2019/01/megan-thee-stallion-dkc-180x180.jpg
136,Farruko,La Toxica,2020-09-26,-,136,1,https://charts-static.billboard.com/img/2010/05/farruko-lo8-180x180.jpg
137,Taylor Swift,The 1,2020-09-26,114,114,2,https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg
138,Andrew Jannakos,Gone Too Soon,2020-09-26,-,138,1,https://charts-static.billboard.com/img/2020/09/andrewjannakos-puo-gonetoosoon-qzh-180x180.jpg
139,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,2020-09-26,130,130,2,https://charts-static.billboard.com/img/2017/02/luis-fonsi-nni-despacito-80r-180x180.jpg
140,Queen,Bohemian Rhapsody,2020-09-26,131,131,2,https://charts-static.billboard.com/img/2005/02/queen-m21-180x180.jpg
